"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","134","Teste: Requisição GET JSONPlaceholder","tests","Wed Apr 09 14:17:52 GMT-03:00 2025","passed","Wed Apr 09 14:17:52 GMT-03:00 2025","","test_api","",""
"","2651","Teste: Abertura do Google","tests","Wed Apr 09 14:21:01 GMT-03:00 2025","passed","Wed Apr 09 14:21:04 GMT-03:00 2025","","test_ui","",""
