"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61","Teste: Requisição GET JSONPlaceholder","tests","Sat Apr 12 12:47:56 UTC 2025","passed","Sat Apr 12 12:47:56 UTC 2025","","test_api","",""
"","3618","Teste: Abertura do Google","tests","Sat Apr 12 12:47:56 UTC 2025","passed","Sat Apr 12 12:48:00 UTC 2025","","test_ui","",""
